,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
74,m_dense/H/long,PatchTST-ABR,42006.2024691358,42006.2024691358,102.62233024691358,0.8798726884474946,0.3823505383777361,0.2619921875,35.19490753509006,204.95414723575564,0.3548059265973275,0.177654423996359,0.1776544143022435,Transport,1
75,m_dense/H/medium,PatchTST-ABR,50940.57333333333,50940.57333333333,108.70103732638889,0.9006817297589883,0.3924162804013004,0.2686396111382378,36.02726920124582,225.70018461076484,0.3926898070341175,0.1891260720310113,0.1891260730436142,Transport,1
76,m_dense/H/short,PatchTST-ABR,41725.74986111111,41725.74986111111,96.31540581597224,0.8624536117743506,0.4028533197132565,0.255589853922526,34.49814447571884,204.26881764261304,0.3623220238115607,0.1708395493850199,0.1708395474475726,Transport,1
77,restaurant/D/short,PatchTST-ABR,307.3784379888741,307.3784379888741,11.35752275088727,1.064499502230574,0.8953031320982513,0.6129341111237054,42.57998007726298,17.532211440342433,0.8068729922103196,0.5226995121116451,0.5226995083234575,Sales,1
78,saugeen/D/short,PatchTST-ABR,1067.1542708333334,1067.1542708333334,13.564082845052084,3.01213786556637,0.3461698150634765,0.3674313863118489,120.48551487284354,32.66732726798036,1.0581025137042832,0.4393438752031111,0.4393438761040618,Nature,1
79,saugeen/M/short,PatchTST-ABR,335.8026181175595,335.8026181175595,12.37992931547619,0.7254574225077606,0.4255380176362537,0.3703441392807733,29.01829696703945,18.324917956639247,0.5501690112972921,0.3716826174906941,0.3716826135708146,Nature,1
80,saugeen/W/short,PatchTST-ABR,1371.07109375,1371.07109375,19.821817016601564,1.607379757448586,0.6842684745788574,0.5040265083312988,64.29519020384586,37.02797717604892,1.1177202807598958,0.5983380289890105,0.5983380540880704,Nature,1
81,solar/10T/long,PatchTST-ABR,19.97536916121756,19.97536916121756,2.390774177248074,1.0449560266525255,2.86286131509392,1.4887750060985654,41.79824106535183,4.469381295125485,0.9659852502204817,0.5167275824840549,0.5167275829115593,Energy,1
82,solar/10T/medium,PatchTST-ABR,21.29972867503733,21.29972867503733,2.5662820763304235,1.114449026941028,3.4435151674181967,1.4857717317017114,44.5779610735118,4.61516290882969,1.0241230029950048,0.5694681982981665,0.5694681951397613,Energy,1
83,solar/10T/short,PatchTST-ABR,19.67133803912903,19.67133803912903,2.120333639548643,0.9172865743788576,5.555000142155193,1.5095844389458353,36.69146298020522,4.435238216728503,1.2902102918582776,0.6168048141361963,0.6168048136857027,Energy,1
84,solar/D/short,PatchTST-ABR,160168.64622871045,160168.64622871045,275.60766423357666,1.073254748354895,1.1967242684097477,0.445210240125076,42.93018991827871,400.2107522652414,0.5781682361914972,0.3981592103881733,0.3981592146319981,Energy,1
85,solar/H/long,PatchTST-ABR,992.0616788321169,992.0616788321169,17.261742193836174,1.316407826238705,5.846721901461476,1.4849812528512774,52.65631304605706,31.49701063326672,1.0920589042725246,0.5984961393804634,0.5984961526019109,Energy,1
86,solar/H/medium,PatchTST-ABR,984.2029653284671,984.2029653284671,16.46900994145377,1.2570973859023888,5.319857193635271,1.4670449064305808,50.28389543822169,31.37200926508321,1.1300929963562705,0.5932521769484862,0.593252159584232,Energy,1
87,solar/H/short,PatchTST-ABR,687.6435680684947,687.6435680684947,13.799058999916337,1.062018083387234,4.846735604459907,1.440483015101703,42.48072333359218,26.22295879698732,0.9665869989911304,0.5086379127119341,0.5086379160586709,Energy,1
88,solar/W/short,PatchTST-ABR,3496529.98540146,3496529.98540146,1459.254419479927,1.602445237277195,0.3381592757510442,0.2703376547263486,64.09780958649728,1869.9010629981096,0.3816935479056299,0.297870303242256,0.2978703202139621,Energy,1
89,sz_taxi/15T/long,PatchTST-ABR,20.829099893162397,20.829099893162397,3.1729707810274217,0.6062075618027724,9134207592579.863,0.4577508562310808,24.24830247147706,4.563890872179394,0.4224255767569368,0.2936845007357423,0.2936845023466292,Transport,1
90,sz_taxi/15T/medium,PatchTST-ABR,18.270347973424144,18.270347973424144,2.9572589059161323,0.5805598411008243,11517683480299.432,0.4265273265349559,23.22239364746484,4.274382759349488,0.3978026539069803,0.2752222969480922,0.2752223104896149,Transport,1
91,sz_taxi/15T/short,PatchTST-ABR,17.78086187900641,17.78086187900641,2.884938054905706,0.5783134931456504,1092231422224.5208,0.4177377838209289,23.13253973311728,4.216735927113104,0.3942828544076195,0.2697540540216231,0.2697540573319865,Transport,1
92,sz_taxi/H/short,PatchTST-ABR,7.836716513348441,7.836716513348441,1.9562167795295389,0.5967803132028252,1.0419405871986325,0.3137639730404585,23.871212535463933,2.7994136016938334,0.2607826486966876,0.1822336623934184,0.1822336656578902,Transport,1
93,temperature_rain/D/short,PatchTST-ABR,219.3765818797249,219.3765818797249,8.525243736327951,2.765404694781788,178.45559893938417,1.4239819576414037,110.61618778516106,14.81136664456474,1.7436894514272898,1.0036465864773323,1.003646585754761,Nature,1
94,us_births/D/short,PatchTST-ABR,2424610.3466666667,2424610.3466666667,1186.9194791666666,1.747589087899149,0.1156511179606119,0.1142911020914713,69.90356353572862,1557.1160350682496,0.1459669930198151,0.1112640698758263,0.1112640706386997,Healthcare,1
95,us_births/M/short,PatchTST-ABR,25686296.0,25686296.0,3860.5338541666665,0.4358227662789292,0.0119175414244333,0.0118445803721745,17.43291065115717,5068.164953905901,0.0157416857925196,0.0119907918302543,0.0119907918302543,Healthcare,1
96,us_births/W/short,PatchTST-ABR,3233681.714285714,3233681.714285714,1236.227818080357,1.1248837934212168,0.0167353312884058,0.0168876019971711,44.99535173684866,1798.244064159733,0.0244109868451794,0.0167816714128321,0.0167816714128321,Healthcare,1
